departamentocodigo,Departamento,municipiocodigo,Municipio,Nombre_comercial,bandera,Direccion,producto,precio,estado,fecharegistro,periodo,mes,Dir2,Full_Address,Coords
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO METROPOLITANA,MOBIL,CARRERA 120 No. 17-37,BIODIESEL EXTRA,8400,1,2018-05-02,2018,5,CARRERA 120 No. 17-37,"CARRERA 120 No. 17-37, Bogota d.c., Colombia","(4.68585, -74.15736)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO METROPOLITANA,MOBIL,CARRERA 120 No. 17-37,GASOLINA CORRIENTE OXIGENADA,9095,1,2018-05-02,2018,5,CARRERA 120 No. 17-37,"CARRERA 120 No. 17-37, Bogota d.c., Colombia","(4.68585, -74.15736)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO METROPOLITANA,MOBIL,CARRERA 120 No. 17-37,BIOACEM AL 9%,8400,1,2018-05-02,2018,5,CARRERA 120 No. 17-37,"CARRERA 120 No. 17-37, Bogota d.c., Colombia","(4.68585, -74.15736)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS ESSO INDUSTRIAL BOYACA,MOBIL,CARRERA 71 No. 19-05,GASOLINA CORRIENTE OXIGENADA,9090,1,2018-05-02,2018,5,CARRERA 71 No. 19-05,"CARRERA 71 No. 19-05, Bogota d.c., Colombia","(4.65127, -74.1234)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS ESSO INDUSTRIAL BOYACA,MOBIL,CARRERA 71 No. 19-05,BIODIESEL EXTRA,9190,1,2018-05-02,2018,5,CARRERA 71 No. 19-05,"CARRERA 71 No. 19-05, Bogota d.c., Colombia","(4.65127, -74.1234)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS ESSO INDUSTRIAL BOYACA,MOBIL,CARRERA 71 No. 19-05,BIOACEM AL 9%,8390,1,2018-05-02,2018,5,CARRERA 71 No. 19-05,"CARRERA 71 No. 19-05, Bogota d.c., Colombia","(4.65127, -74.1234)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,EDS ESSO INDUSTRIAL BOYACA,MOBIL,CARRERA 71 No. 19-05,GASOLINA EXTRA OXIGENADA,11990,1,2018-05-02,2018,5,CARRERA 71 No. 19-05,"CARRERA 71 No. 19-05, Bogota d.c., Colombia","(4.65127, -74.1234)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ PETROBRAS CALLE 45,PETROBRAS,CALLE 45 No. 16-30,GASOLINA CORRIENTE OXIGENADA,9230,1,2018-05-01,2018,5,CALLE 45 No. 16-30,"CALLE 45 No. 16-30, Bogota d.c., Colombia","(4.63416, -74.07612)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ PETROBRAS CALLE 45,PETROBRAS,CALLE 45 No. 16-30,BIODIESEL EXTRA,8440,1,2018-05-01,2018,5,CALLE 45 No. 16-30,"CALLE 45 No. 16-30, Bogota d.c., Colombia","(4.63416, -74.07612)"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO AUTOMOTRIZ PETROBRAS CALLE 45,PETROBRAS,CALLE 45 No. 16-30,BIOACEM AL 9%,8440,1,2018-05-01,2018,5,CALLE 45 No. 16-30,"CALLE 45 No. 16-30, Bogota d.c., Colombia","(4.63416, -74.07612)"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO TERPEL CAMPO VALDES,TERPEL,CARRERA 49 No. 84-61,GASOLINA EXTRA OXIGENADA,11980,1,2018-05-03,2018,5,CARRERA 49 No. 84-61,"CARRERA 49 No. 84-61, Medellin, Colombia","(6.27755, -75.55736)"
